Id,Speaker,Text,NextId,EmotionKey,TriggerKey,ConditionKey,EventKey,Choices,AutoNextSeconds,ChapterKey,RouteKey,EndingKey,Background,Bgm,Se,Voice,Characters,ScreenEffect
1000001,地の文,第一章　答えのない問い,1000002,narration,R00EscapeStart,,,,,chapter_01,main,,outside_wall_night#fade:1.0,tense_low#fade:1.0,,,*|Rei@left:serious#fadein|PlaceholderRight@right:neutral#fadein
1000002,地の文,少女には、レイを殺せる機会が三度あった。,1000003,narration,,,,,,,,,,,,,
1000003,地の文,けれど、引き金は一度も引かなかった。,1000004,narration,,,,,,,,,,,,,
1000004,地の文,雨音が、壊れた街を満たしている。,1000005,narration,,,,,,,,,,,,,
1000005,地の文,傾いた高架の先に、窓を失った建物が並ぶ。,1000006,narration,,,,,,,,,,,,,
1000006,地の文,道路には水が溜まり、遠くで何かが燃えている。,1200000,narration,,,,,,,,,,,,,
1200000,地の文,黒い煙の向こうに、青白く光る塔が一本だけ立っていた。,1000007,narration,,,,,,,,,,,,,
1000007,地の文,レイは瓦礫の陰に身を伏せた。左肩に熱が走る。,1000008,narration,,,,,,,,,,,,,
1000008,地の文,触れた指先が、赤く濡れていた。,1000009,narration,,,,,,,,,,,,,
1000009,地の文,夢の中なのに、痛みだけは妙にはっきりしていた。,1000010,narration,,,,,,,,,,,,,
1000010,地の文,パンッ！,1000011,narration,,,,,,,,,,,,,
1000011,地の文,頭のすぐ横で、コンクリートが弾けた。,1000012,narration,,,,,,,,,,,,,
1000012,地の文,レイは身を低くして走り、倒れた標識を蹴り上げる。,1000013,narration,,,,,,,,,,,,,
1000013,地の文,少女の視界を遮った隙に距離を詰め、手首を取って銃口を逸らした。,1000014,narration,,,,,,,,,,,,,
1000014,地の文,少女の膝が腹にめり込み、息が詰まる。,1000015,narration,,,,,,,,,,,,,
1000015,地の文,それでも腕を捻り上げると、銃が水たまりへ落ちた。,1000016,narration,,,,,,,,,,,,,
1000016,少女,痛いなあ,1000017,,,,,,,,,,,,,,*|PlaceholderRight@right:neutral|Rei@left:blank
1000017,地の文,少女は笑ったが、顔だけがぼやけて見えない。,1000018,narration,,,,,,,,,,,,,
1000018,地の文,雨のせいではない。目を凝らすほど、輪郭が崩れていく。,1000019,narration,,,,,,,,,,,,,
1000019,レイ,本気ですね,1000020,,,,,,,,,,,,,,*|Rei@left:blank|PlaceholderRight@right:neutral
1000020,少女,そっちがでしょ,1000021,,,,,,,,,,,,,,*|PlaceholderRight@right:neutral|Rei@left:blank
1000021,地の文,少女が距離を取り、レイも構え直した。,1000022,narration,,,,,,,,,,,,,
1000022,少女,まだやる？,1000023,,,,,,,,,,,,,,*|PlaceholderRight@right:neutral|Rei@left:blank
1000023,レイ,はい,1000024,,,,,,,,,,,,,,*|Rei@left:blank|PlaceholderRight@right:neutral
1000024,少女,即答なんだ,1000025,,,,,,,,,,,,,,*|PlaceholderRight@right:neutral|Rei@left:blank
1000025,地の文,少女が小さく笑う。,1000026,narration,,,,,,,,,,,,,
1000026,少女,そこ、最後まで変わらなかったね,1000027,,,,,,,,,,,,,,*|PlaceholderRight@right:neutral|Rei@left:blank
1000027,地の文,最後まで――その言葉の意味を、レイは理解できなかった。,1000028,narration,,,,,,,,,,,,,
1000028,地の文,少女の右足は半歩後ろ。左手は空いている。,1000029,narration,,,,,,,,,,,,,
1000029,地の文,呼吸も乱れていない。次に踏み込む可能性は低い。,1000030,narration,,,,,,,,,,,,,
1000030,地の文,動きは読めても、それだけだった。,1000031,narration,,,,,,,,,,,,,
1000031,地の文,少女が何を望み、どんな言葉なら戦いをやめるのか。,1000032,narration,,,,,,,,,,,,,
1000032,地の文,どれを選べば正しいのか、レイには何も読めなかった。,1000033,narration,,,,,,,,,,,,,
1000033,少女,またそれ？,1000034,,,,,,,,,,,,,,*|PlaceholderRight@right:neutral|Rei@left:blank
1000034,レイ,何がですか,1000035,,,,,,,,,,,,,,*|Rei@left:blank|PlaceholderRight@right:neutral
1000035,少女,私の顔,1000036,,,,,,,,,,,,,,*|PlaceholderRight@right:neutral|Rei@left:blank
1000036,地の文,少女が、さらに一歩近づく。,1000037,narration,,,,,,,,,,,,,
1000037,少女,ずっと見てる,1000038,,,,,,,,,,,,,,*|PlaceholderRight@right:neutral|Rei@left:blank
1000038,レイ,あなたが次に何をするか確認しています,1000039,,,,,,,,,,,,,,*|Rei@left:blank|PlaceholderRight@right:neutral
